MINERAL,PERCENT,ERROR,sol
PLAGIOCLASE,42.8,3.0,1062
TRIDYMITE,34.1,2.0,1062
SANIDINE,8.4,1.8,1062
MAGNETITE,6.9,0.8,1062
CRISTOBALITE,6.0,0.8,1062
ANHYDRITE,1.8,0.6,1062
PLAGIOCLASE,45.7,2.2,1122
K-FELDSPAR,1.7,0.8,1122
PIGEONITE,20.2,1.8,1122
ORTHOPYROXENE,10.0,2.2,1122
MAGNETITE,12.6,0.8,1122
QUARTZ,1.6,0.4,1122
TRIDYMITE,1.8,0.4,1122
HEMATITE,3.6,0.6,1122
ANHYDRITE,1.5,0.4,1122
FLUORAPATITE,1.4,0.6,1122
PLAGIOCLASE,42.1,2.4,1140
PIGEONITE,4.7,1.4,1140
ORTHOPYROXENE,7.6,2.0,1140
MAGNETITE,17.3,1.0,1140
QUARTZ,2.2,0.6,1140
HEMATITE,6.0,0.8,1140
ANHYDRITE,16.1,1.0,1140
BASSANITE,4.0,1.0,1140
PLAGIOCLASE,35.8,1.8,1236
OLIVINE,28.0,1.5,1236
AUGITE,20.2,1.7,1236
PIGEONITE,10.9,1.9,1236
MAGNETITE,2.8,0.6,1236
ANHYDRITE,1.0,0.3,1236
QUARTZ,0.7,0.4,1236
HEMATITE,0.5,0.3,1236
PLAGIOCLASE,50.3,3.1,1263
OLIVINE,10.7,1.6,1263
AUGITE,8.6,2.1,1263
PIGEONITE,6.9,1.8,1263
MAGNETITE,8.5,1.0,1263
HEMATITE,6.8,0.8,1263
ANHYDRITE,6.0,0.5,1263
QUARTZ,2.3,0.5,1263
PLAGIOCLASE,43.2,2.4,1325
PIGEONITE,5.9,1.4,1325
ORTHOPYROXENE,10.4,2.1,1325
MAGNETITE,11.1,0.9,1325
HEMATITE,2.3,0.6,1325
QUARTZ,3.5,0.7,1325
ANHYDRITE,12.3,0.9,1325
BASSANITE,9.0,1.0,1325
GYPSUM,2.3,0.7,1325
PLAGIOCLASE,41.9,2.6,1335
K-FELDSPAR,2.9,1.0,1335
PIGEONITE,20.8,2.0,1335
ORTHOPYROXENE,11.0,2.2,1335
MAGNETITE,17.3,1.0,1335
HEMATITE,1.1,0.6,1335
QUARTZ,1.4,0.4,1335
ANHYDRITE,0.8,0.6,1335
BASSANITE,1.2,0.6,1335
