MINERAL,PERCENT,ERROR,sol,latitude,longitude,elevation
ANDESINE,43.2,2.7,419,-4.615213901,137.420769558,-4497.9
SANIDINE,3.4,1.8,419,-4.615213901,137.420769558,-4497.9
FORSTERITE,1.8,1.6,419,-4.615213901,137.420769558,-4497.9
AUGITE,6.5,2.4,419,-4.615213901,137.420769558,-4497.9
PIGEONITE,13.4,3.6,419,-4.615213901,137.420769558,-4497.9
ORTHOPYROXENE,11.1,4.1,419,-4.615213901,137.420769558,-4497.9
MAGNETITE,8.7,1.9,419,-4.615213901,137.420769558,-4497.9
ANHYDRITE,1.8,1.3,419,-4.615213901,137.420769558,-4497.9
BASSANITE,2.5,1.2,419,-4.615213901,137.420769558,-4497.9
HEMATITE,1.1,0.9,419,-4.615213901,137.420769558,-4497.9
ILMENITE,0.5,0.5,419,-4.615213901,137.420769558,-4497.9
AKAGANEITE,3.6,1.3,419,-4.615213901,137.420769558,-4497.9
HALITE,0.1,0.2,419,-4.615213901,137.420769558,-4497.9
PYRRHOTITE,2.1,1.1,419,-4.615213901,137.420769558,-4497.9
ANDESINE,43.2,2.7,419,-4.615213901,137.420769558,-4497.9
SANIDINE,3.4,1.8,419,-4.615213901,137.420769558,-4497.9
FORSTERITE,1.8,1.6,419,-4.615213901,137.420769558,-4497.9
AUGITE,6.5,2.4,419,-4.615213901,137.420769558,-4497.9
PIGEONITE,13.4,3.6,419,-4.615213901,137.420769558,-4497.9
ORTHOPYROXENE,11.1,4.1,419,-4.615213901,137.420769558,-4497.9
MAGNETITE,8.7,1.9,419,-4.615213901,137.420769558,-4497.9
ANHYDRITE,1.8,1.3,419,-4.615213901,137.420769558,-4497.9
BASSANITE,2.5,1.2,419,-4.615213901,137.420769558,-4497.9
HEMATITE,1.1,0.9,419,-4.615213901,137.420769558,-4497.9
ILMENITE,0.5,0.5,419,-4.615213901,137.420769558,-4497.9
AKAGANEITE,3.6,1.3,419,-4.615213901,137.420769558,-4497.9
HALITE,0.1,0.2,419,-4.615213901,137.420769558,-4497.9
PYRRHOTITE,2.1,1.1,419,-4.615213901,137.420769558,-4497.9
FELDSPAR,46.5,2.4,474,-4.624880538,137.410477106,-4490.13
FORSTERITE,6.9,1.4,474,-4.624880538,137.410477106,-4490.13
PYROXENE,25.3,2.1,474,-4.624880538,137.410477106,-4490.13
MAGNETITE,6.4,1.7,474,-4.624880538,137.410477106,-4490.13
ANHYDRITE,4.6,1.5,474,-4.624880538,137.410477106,-4490.13
BASSANITE,2.3,0.7,474,-4.624880538,137.410477106,-4490.13
QUARTZ,0.8,0.8,474,-4.624880538,137.410477106,-4490.13
HEMATITE,0.9,1.0,474,-4.624880538,137.410477106,-4490.13
AKAGANEITE,2.2,1.2,474,-4.624880538,137.410477106,-4490.13
HALITE,0.7,0.4,474,-4.624880538,137.410477106,-4490.13
PYRITE,0.7,0.5,474,-4.624880538,137.410477106,-4490.13
PYRRHOTITE,2.0,0.9,474,-4.624880538,137.410477106,-4490.13
ILMENITE,0.7,0.7,474,-4.624880538,137.410477106,-4490.13
PLAGIOCLASE,43.8,4.5,923,-4.663593617,137.377312888,-4452.15
K-FELDSPAR,8.4,3.6,923,-4.663593617,137.377312888,-4452.15
FORSTERITE,1.8,1.9,923,-4.663593617,137.377312888,-4452.15
PIGEONITE,6.8,1.6,923,-4.663593617,137.377312888,-4452.15
ORTHOPYROXENE,5.5,4.2,923,-4.663593617,137.377312888,-4452.15
MAGNETITE,13.2,1.5,923,-4.663593617,137.377312888,-4452.15
QUARTZ,1.5,0.6,923,-4.663593617,137.377312888,-4452.15
CRISTOBALITE,11.8,2.7,923,-4.663593617,137.377312888,-4452.15
HEMATITE,1.8,0.8,923,-4.663593617,137.377312888,-4452.15
JAROSITE,2.4,2.9,923,-4.663593617,137.377312888,-4452.15
APATITE,3.1,0.8,923,-4.663593617,137.377312888,-4452.15
PLAGIOCLASE,38.4,2.4,1499,-4.699774856,137.354872908,-4359.84
HEMATITE,20.4,1.7,1499,-4.699774856,137.354872908,-4359.84
ANHYDRITE,16.9,1.1,1499,-4.699774856,137.354872908,-4359.84
BASSANITE,1.8,0.5,1499,-4.699774856,137.354872908,-4359.84
GYPSUM,3.8,1.3,1499,-4.699774856,137.354872908,-4359.84
SANIDINE,5.1,2.0,1499,-4.699774856,137.354872908,-4359.84
FORSTERITE,3.0,1.0,1499,-4.699774856,137.354872908,-4359.84
PYROXENE,6.8,4.2,1499,-4.699774856,137.354872908,-4359.84
JAROSITE,2.6,0.6,1499,-4.699774856,137.354872908,-4359.84
QUARTZ,1.2,0.6,1499,-4.699774856,137.354872908,-4359.84
PLAGIOCLASE,47.1,2.1,1834,-4.725269781,137.373617365,-4182.32
FORSTERITE,18.2,1.2,1834,-4.725269781,137.373617365,-4182.32
AUGITE,15.7,1.8,1834,-4.725269781,137.373617365,-4182.32
PIGEONITE,10.2,1.8,1834,-4.725269781,137.373617365,-4182.32
MAGNETITE,2.5,0.6,1834,-4.725269781,137.373617365,-4182.32
HEMATITE,2.3,0.5,1834,-4.725269781,137.373617365,-4182.32
ANHYDRITE,2.3,0.5,1834,-4.725269781,137.373617365,-4182.32
QUARTZ,1.6,0.4,1834,-4.725269781,137.373617365,-4182.32
